Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1957","1957","1000 persons","1276.157","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","2838.758","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1958","1958","1000 persons","1431.399","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1958","1958","1000 persons","1407.359","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1958","1958","1000 persons","1572.008","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1958","1958","1000 persons","1274.047","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","2823.465","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1959","1959","1000 persons","1421.559","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1959","1959","1000 persons","1401.907","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1959","1959","1000 persons","1557.91","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1959","1959","1000 persons","1273.342","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","2811.067","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1960","1960","1000 persons","1413.389","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1960","1960","1000 persons","1397.678","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1960","1960","1000 persons","1546.964","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1960","1960","1000 persons","1275.146","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","2807.005","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1961","1961","1000 persons","1410.265","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1961","1961","1000 persons","1396.739","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1961","1961","1000 persons","1539.928","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1961","1961","1000 persons","1280.11","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","2813.067","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1962","1962","1000 persons","1412.929","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1962","1962","1000 persons","1400.138","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1962","1962","1000 persons","1536.686","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1962","1962","1000 persons","1288.262","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","2824.089","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1963","1963","1000 persons","1418.364","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1963","1963","1000 persons","1405.725","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1963","1963","1000 persons","1536.216","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1963","1963","1000 persons","1298.803","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","2837.436","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1964","1964","1000 persons","1424.982","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1964","1964","1000 persons","1412.455","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1964","1964","1000 persons","1536.905","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1964","1964","1000 persons","1310.435","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","2852.401","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1965","1965","1000 persons","1432.265","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1965","1965","1000 persons","1420.136","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1965","1965","1000 persons","1537.713","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1965","1965","1000 persons","1322.242","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","2867.003","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1966","1966","1000 persons","1439.406","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1966","1966","1000 persons","1427.598","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1966","1966","1000 persons","1532.612","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1966","1966","1000 persons","1339.459","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","2882.745","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1967","1967","1000 persons","1447.26","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1967","1967","1000 persons","1435.486","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 persons","1506.012","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 persons","1378.771","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","2899.643","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1968","1968","1000 persons","1455.714","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1968","1968","1000 persons","1443.929","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 persons","1480.374","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 persons","1419.81","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","2917.184","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1969","1969","1000 persons","1464.305","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1969","1969","1000 persons","1452.879","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 persons","1457.27","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 persons","1463.989","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","2937.637","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1970","1970","1000 persons","1474.234","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1970","1970","1000 persons","1463.403","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1970","1970","1000 persons","1437.369","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1970","1970","1000 persons","1512.629","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","2969.397","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1971","1971","1000 persons","1490.109","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1971","1971","1000 persons","1479.288","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1971","1971","1000 persons","1425.612","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1971","1971","1000 persons","1561.171","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","3013.998","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1972","1972","1000 persons","1512.747","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1972","1972","1000 persons","1501.251","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1972","1972","1000 persons","1436.06","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1972","1972","1000 persons","1594.335","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","3062.023","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1973","1973","1000 persons","1537.079","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1973","1973","1000 persons","1524.944","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1973","1973","1000 persons","1448.734","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1973","1973","1000 persons","1630.561","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","3110.099","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1974","1974","1000 persons","1561.417","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1974","1974","1000 persons","1548.681","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1974","1974","1000 persons","1462.46","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1974","1974","1000 persons","1668.715","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","3157.919","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1975","1975","1000 persons","1585.746","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1975","1975","1000 persons","1572.173","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1975","1975","1000 persons","1476.338","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1975","1975","1000 persons","1707.788","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","3205.753","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1976","1976","1000 persons","1610.15","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1976","1976","1000 persons","1595.603","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1976","1976","1000 persons","1490.089","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1976","1976","1000 persons","1747.505","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","3254.662","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1977","1977","1000 persons","1635.128","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1977","1977","1000 persons","1619.534","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1977","1977","1000 persons","1503.568","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1977","1977","1000 persons","1787.602","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","3305.571","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1978","1978","1000 persons","1660.794","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1978","1978","1000 persons","1644.777","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1978","1978","1000 persons","1515.956","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1978","1978","1000 persons","1827.191","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","3351.898","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1979","1979","1000 persons","1683.485","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1979","1979","1000 persons","1668.413","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1979","1979","1000 persons","1526.41","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1979","1979","1000 persons","1865.17","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","3391.387","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1980","1980","1000 persons","1702.594","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1980","1980","1000 persons","1688.793","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1980","1980","1000 persons","1534.275","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1980","1980","1000 persons","1900.678","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","3424.827","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1981","1981","1000 persons","1718.372","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1981","1981","1000 persons","1706.456","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1981","1981","1000 persons","1540.787","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1981","1981","1000 persons","1932.101","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","3451.212","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1982","1982","1000 persons","1729.953","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1982","1982","1000 persons","1721.259","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1982","1982","1000 persons","1549.571","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1982","1982","1000 persons","1955.789","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","3472.903","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1983","1983","1000 persons","1739.152","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1983","1983","1000 persons","1733.751","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1983","1983","1000 persons","1555.588","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1983","1983","1000 persons","1976.188","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","3490.931","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1984","1984","1000 persons","1746.7","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1984","1984","1000 persons","1744.231","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1984","1984","1000 persons","1558.647","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1984","1984","1000 persons","1993.007","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","3505.769","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1985","1985","1000 persons","1752.476","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1985","1985","1000 persons","1753.293","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1985","1985","1000 persons","1558.789","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1985","1985","1000 persons","2006.17","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","3515.669","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1986","1986","1000 persons","1755.397","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1986","1986","1000 persons","1760.273","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1986","1986","1000 persons","1556.136","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1986","1986","1000 persons","2015.21","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 persons","3513.7","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1987","1987","1000 persons","1751.67","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1987","1987","1000 persons","1762.03","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1987","1987","1000 persons","1551.83","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1987","1987","1000 persons","2019.93","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 persons","3498.03","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","512","Total Population - Male","3010","Population - Est. & Proj.","1988","1988","1000 persons","1740.233","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","513","Total Population - Female","3010","Population - Est. & Proj.","1988","1988","1000 persons","1757.797","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","551","Rural population","3010","Population - Est. & Proj.","1988","1988","1000 persons","1546.193","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","561","Urban population","3010","Population - Est. & Proj.","1988","1988","1000 persons","2022.919","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 persons","3483.314","X","Figure from international organizations",""
